0.0,55.0,0.0,0.0
0.0,55.0,0.0,0.0
7.0,0.0,0.31897458,-3065.0
25.0,0.0,1.1622806,-11002.0
25.0,0.0,1.1622806,-11002.0
1.0,37.0,0.083333336,-207.0
24.0,1.0,1.1310306,-10409.0
21.0,6.0,1.0294102,-9086.0
14.0,15.0,0.67685586,-5748.0
15.0,14.0,0.75377893,-5958.0
5.0,27.0,0.24375,-1903.0
1.0,16.0,0.03125,-593.0
23.0,3.0,1.0939935,-9983.0
6.0,1.0,0.24104345,-2882.0
22.0,5.0,1.0606602,-9570.0
4.0,29.0,0.2125,-1554.0
2.0,21.0,0.10817308,-836.0
16.0,1.0,0.7510724,-6672.0
13.0,4.0,0.6064183,-5599.0
7.0,0.0,0.31796652,-3108.0
3.0,14.0,0.19729345,-850.0
3.0,6.0,0.096841395,-1675.0
17.0,2.0,0.767843,-7518.0
20.0,2.0,0.9560869,-8736.0
8.0,8.0,0.35455152,-3604.0
21.0,2.0,0.99978054,-9146.0
4.0,12.0,0.22955151,-1419.0
7.0,9.0,0.40400642,-2634.0
9.0,10.0,0.37655318,-4057.0
23.0,0.0,1.0583304,-10027.0
10.0,9.0,0.5434295,-3749.0
8.0,5.0,0.31096178,-3687.0
20.0,2.0,0.9024871,-9104.0
12.0,8.0,0.5598796,-5479.0
22.0,0.0,0.9697661,-10011.0
9.0,18.0,0.42083332,-3785.0
11.0,14.0,0.5379888,-4639.0
18.0,0.0,0.8125643,-7923.0
6.0,15.0,0.26436678,-2749.0
10.0,17.0,0.50095177,-4213.0
13.0,9.0,0.6381875,-5260.0
12.0,13.0,0.56705153,-4876.0
19.0,2.0,0.9732165,-7737.0
16.0,4.0,0.63304955,-7789.0
15.0,3.0,0.75769234,-6079.0
11.0,9.0,0.43326613,-5353.0
14.0,7.0,0.63326615,-5993.0
1.0,27.0,0.027027028,-721.0
17.0,4.0,0.66530764,-8417.0
2.0,19.0,0.10918114,-826.0
19.0,4.0,0.9260161,-8267.0
18.0,3.0,0.89684945,-7423.0
24.0,0.0,1.1310306,-10382.0
5.0,5.0,0.21041666,-2411.0
1.0,28.0,0.07692308,-182.0
1.0,35.0,0.06666667,-258.0
2.0,14.0,0.07037037,-897.0
21.0,7.0,0.9837371,-9297.0
1.0,32.0,0.07692308,-226.0
7.0,25.0,0.41041666,-2273.0
2.0,30.0,0.09892473,-761.0
2.0,9.0,0.06458333,-1064.0
2.0,19.0,0.11666667,-678.0
1.0,25.0,0.07692308,-215.0
8.0,24.0,0.39059138,-3189.0
4.0,28.0,0.21350807,-1488.0
1.0,31.0,0.083333336,-209.0
5.0,3.0,0.21080151,-2316.0
2.0,34.0,0.15,-465.0
24.0,0.0,1.1352535,-10281.0
13.0,17.0,0.5999328,-5522.0
2.0,18.0,0.11396012,-641.0
2.0,12.0,0.10817308,-808.0
9.0,23.0,0.47392473,-3396.0
2.0,33.0,0.114583336,-727.0
1.0,24.0,0.033333335,-471.0
4.0,5.0,0.1849537,-1699.0
24.0,2.0,1.1252435,-10576.0
1.0,35.0,0.06666667,-258.0
2.0,17.0,0.10817308,-869.0
1.0,33.0,0.032258064,-503.0
10.0,22.0,0.50517476,-3965.0
5.0,2.0,0.20979345,-2398.0
